customer_id,customer_name,gender_cd,gender,birth_day,age,postal_cd,address,application_store_cd,application_date,status_cd
CS019415000117,宮脇 芽以,1,女性,1974-07-10,44,173-0036,東京都板橋区向原**********,S13019,20141114,C-20100720-D
CS040513000111,寺西 奈央,1,女性,1966-06-03,52,226-0027,神奈川県横浜市緑区長津田**********,S14040,20150728,6-20090622-6
CS029402000041,浅利 俊二,0,男性,1975-08-15,43,134-0013,東京都江戸川区江戸川**********,S12029,20150220,0-00000000-0
CS019712000008,梅本 ヒカル,1,女性,1945-04-14,73,173-0037,東京都板橋区小茂根**********,S13019,20150613,0-00000000-0
CS015713000077,長沢 結衣,1,女性,1947-10-09,71,136-0075,東京都江東区新砂**********,S13015,20150308,0-00000000-0
CS008515000014,野沢 あさみ,1,女性,1959-06-09,59,157-0067,東京都世田谷区喜多見**********,S13008,20150219,9-20091212-B
CS031514000047,原口 礼子,1,女性,1963-07-26,55,151-0064,東京都渋谷区上原**********,S13031,20150927,8-20090607-6
CS004313000412,春日 瞳,1,女性,1984-07-26,34,176-0024,東京都練馬区中村**********,S13004,20170525,0-00000000-0
CS035513000155,板倉 昌代,1,女性,1960-06-12,58,157-0075,東京都世田谷区砧公園**********,S13035,20150625,0-00000000-0
CS003512000587,大山 沙知絵,1,女性,1959-04-01,59,214-0014,神奈川県川崎市多摩区登戸**********,S13003,20170306,0-00000000-0
